frame_index,LeftUpperLeg_orientation_w,LeftUpperLeg_orientation_x,LeftUpperLeg_orientation_y,LeftUpperLeg_orientation_z,LeftLowerLeg_orientation_w,LeftLowerLeg_orientation_x,LeftLowerLeg_orientation_y,LeftLowerLeg_orientation_z,LeftUpperLeg_angularVelocity_x,LeftUpperLeg_angularVelocity_y,LeftUpperLeg_angularVelocity_z,LeftLowerLeg_angularVelocity_x,LeftLowerLeg_angularVelocity_y,LeftLowerLeg_angularVelocity_z,LeftUpperLeg_acceleration_x,LeftUpperLeg_acceleration_y,LeftUpperLeg_acceleration_z,LeftLowerLeg_acceleration_x,LeftLowerLeg_acceleration_y,LeftLowerLeg_acceleration_z
100,0.513692,-0.007665,0.003609,0.857933,0.564439,-0.039416,0.033861,0.823837,0.033955,0.019602,0.059339,-0.099970,-0.091456,-0.171569,-0.100645,0.846191,0.066360,-0.555273,0.439892,0.160929
101,0.513578,-0.007500,0.003517,0.858003,0.564708,-0.039645,0.033896,0.823641,0.035248,0.021080,0.106009,-0.106051,-0.097617,-0.162047,-0.351765,0.884499,0.127885,-0.549724,0.439711,0.058331
102,0.513438,-0.007320,0.003423,0.858089,0.564957,-0.039889,0.033931,0.823457,0.033699,0.025806,0.144403,-0.111576,-0.103576,-0.153908,-0.075466,0.997906,-0.027315,-0.529566,0.369303,0.074084
103,0.513275,-0.007127,0.003326,0.858188,0.565189,-0.040147,0.033966,0.823283,0.037729,0.035542,0.159921,-0.113742,-0.112901,-0.150248,0.387530,0.354437,-0.112897,-0.707170,0.209044,-0.039922
104,0.513095,-0.006925,0.003228,0.858298,0.565405,-0.040415,0.034003,0.823120,0.042031,0.040896,0.164065,-0.111943,-0.118381,-0.149688,0.223873,0.271343,-0.150716,-0.500723,0.150203,-0.137154
105,0.512902,-0.006717,0.003126,0.858415,0.565607,-0.040692,0.034042,0.822967,0.047522,0.049389,0.148011,-0.111390,-0.120514,-0.143468,0.518607,-0.181861,-0.269550,-0.323550,0.205104,-0.140272
106,0.512701,-0.006508,0.003022,0.858537,0.565796,-0.040975,0.034083,0.822821,0.058727,0.051931,0.124969,-0.105391,-0.122087,-0.132640,0.104555,-0.677121,-0.150198,-0.350865,-0.004433,-0.203157
107,0.512498,-0.006301,0.002915,0.858661,0.565973,-0.041261,0.034129,0.822683,0.069469,0.048934,0.101265,-0.101299,-0.122167,-0.122971,-0.207552,-0.779955,-0.102078,-0.121474,0.051843,-0.200420
108,0.512296,-0.006098,0.002805,0.858783,0.566140,-0.041549,0.034179,0.822552,0.074028,0.044856,0.076584,-0.103009,-0.119767,-0.113234,-0.273109,-0.476816,-0.128446,0.013331,0.252105,-0.191406
109,0.512100,-0.005904,0.002691,0.858901,0.566298,-0.041836,0.034235,0.822426,0.077715,0.039958,0.069973,-0.103746,-0.115918,-0.103124,-0.425432,-0.322424,-0.030183,0.151548,0.131157,-0.164896
