frame_index,T8_orientation_w,T8_orientation_x,T8_orientation_y,T8_orientation_z,T8_angularVelocity_x,T8_angularVelocity_y,T8_angularVelocity_z,T8_acceleration_x,T8_acceleration_y,T8_acceleration_z
147,0.893952,0.003609,0.006491,-0.448101,0.046119,-0.001745,0.012394,0.131019,-0.208764,-0.221688
148,0.893964,0.003676,0.006547,-0.448076,0.040801,0.001831,0.015533,-0.100283,-0.166952,0.090361
149,0.893976,0.003739,0.006603,-0.44805,0.039475,0.005834,0.013644,0.065255,0.018553,0.196231
150,0.893988,0.0038,0.006659,-0.448025,0.039942,0.014008,0.015025,-0.254524,0.156439,0.142296
151,0.894,0.003859,0.006715,-0.448001,0.040502,0.020093,0.018423,-0.201257,0.012082,0.128446
152,0.894011,0.003918,0.006771,-0.447977,0.037481,0.017796,0.014251,0.190355,-0.027081,-0.00739
153,0.894021,0.003976,0.006827,-0.447955,0.037791,0.015067,0.009271,0.221943,0.140287,0.079565
154,0.89403,0.004036,0.006882,-0.447936,0.041827,0.017411,0.007318,0.038284,0.083311,0.214596
155,0.894038,0.004098,0.006935,-0.447919,0.044619,0.018746,0.005934,0.03954,0.164962,0.097602
156,0.894043,0.004162,0.006987,-0.447906,0.048667,0.018067,0.00576,-0.00773,0.130932,0.091032
157,0.894047,0.00423,0.007038,-0.447897,0.051563,0.019797,0.005443,0.001442,0.158064,0.025601
158,0.89405,0.0043,0.007086,-0.447891,0.051983,0.015645,0.004612,0.156274,0.048176,-0.072523
159,0.89405,0.004372,0.007133,-0.447888,0.056935,0.008756,-0.001716,0.308836,0.147103,0.022307
160,0.89405,0.004445,0.007179,-0.447888,0.059872,0.001972,-0.010204,0.359667,0.154503,-0.024878
161,0.894048,0.004518,0.007224,-0.447889,0.060568,-0.003654,-0.014538,0.308356,0.046597,-0.105091
162,0.894047,0.004591,0.00727,-0.447892,0.05804,-0.006116,-0.016242,0.205689,0.03749,-0.030979
163,0.894044,0.004662,0.007315,-0.447895,0.057102,-0.005235,-0.017835,0.145488,-0.040065,0.055013
164,0.894042,0.004731,0.007362,-0.447898,0.049621,-0.010354,-0.015279,0.09373,-0.148548,-0.200968
165,0.89404,0.004797,0.007409,-0.4479,0.037374,-0.008976,-0.006296,-0.121581,-0.296396,-0.280729
166,0.894039,0.004859,0.007458,-0.447901,0.032073,-0.002306,0.003204,-0.227978,-0.285936,-0.110413
167,0.894038,0.004916,0.007509,-0.447901,0.028504,0.003898,0.012794,-0.265963,-0.303219,0.004588
168,0.894039,0.004968,0.007563,-0.447899,0.026541,0.012784,0.01847,-0.211932,-0.207226,0.092718
169,0.894041,0.005014,0.007619,-0.447893,0.024451,0.018376,0.019912,-0.037526,-0.161023,-0.017526
170,0.894044,0.005054,0.007678,-0.447885,0.025832,0.022915,0.021188,-0.054893,-0.046238,0.142836
171,0.894048,0.00509,0.00774,-0.447875,0.024974,0.027216,0.018109,4.3e-05,-0.022334,0.001264
172,0.894053,0.005122,0.007803,-0.447863,0.03064,0.027218,0.014821,-0.002005,0.091835,0.047257
173,0.894059,0.005151,0.007867,-0.447851,0.0335,0.025803,0.013028,-0.022439,0.031883,-0.128883
174,0.894064,0.005178,0.007932,-0.447839,0.034408,0.023686,0.006215,0.12236,0.181678,-0.09391
175,0.894069,0.005203,0.007997,-0.447828,0.032339,0.019985,0.004381,0.075529,-0.03562,-0.126398
176,0.894073,0.005227,0.008061,-0.447819,0.029206,0.016689,-0.000491,0.124216,0.031899,-0.097724
177,0.894075,0.005251,0.008124,-0.447812,0.028314,0.016516,-0.007191,0.101076,0.128993,0.061217
178,0.894077,0.005276,0.008186,-0.447808,0.028125,0.015974,-0.01073,-0.00069,0.022122,0.023648
179,0.894076,0.005302,0.008245,-0.447808,0.027538,0.017488,-0.011659,-0.066153,0.028701,0.099417
180,0.894073,0.005331,0.008302,-0.447813,0.026342,0.016683,-0.012463,-0.032971,0.016896,0.042291
181,0.894067,0.005361,0.008355,-0.447822,0.026928,0.016951,-0.011913,-0.157258,0.028646,0.070191
182,0.89406,0.00539,0.008407,-0.447837,0.026768,0.017475,-0.013345,-0.013116,0.004265,0.126428
183,0.89405,0.005419,0.008458,-0.447855,0.02887,0.018613,-0.014724,-0.049001,0.078552,0.158429
184,0.894039,0.005449,0.008507,-0.447876,0.031058,0.02136,-0.014094,-0.129084,0.054499,0.107978
185,0.894026,0.005478,0.008555,-0.4479,0.032292,0.01936,-0.013543,0.002259,0.061112,0.080896
186,0.894013,0.005507,0.008602,-0.447925,0.02963,0.018438,-0.012857,0.020284,-0.059622,-0.089498
187,0.893999,0.005536,0.008649,-0.447951,0.030337,0.016953,-0.011691,-0.076284,0.021527,-0.005166
188,0.893985,0.005565,0.008695,-0.447977,0.030121,0.014608,-0.009436,-0.021146,-0.010012,-0.090019
189,0.893972,0.005595,0.008741,-0.448002,0.028404,0.011916,-0.012242,0.127109,0.02993,-0.180361
190,0.89396,0.005624,0.008787,-0.448026,0.026009,0.011504,-0.008603,-0.016787,-0.066342,-0.154772
191,0.893948,0.005653,0.008833,-0.448047,0.027086,0.011134,-0.011348,0.114599,0.032164,-0.035181
192,0.893939,0.005683,0.008879,-0.448066,0.02839,0.011454,-0.010702,0.064233,0.016734,-0.098174
193,0.89393,0.005713,0.008926,-0.448082,0.028143,0.008862,-0.011472,0.131146,0.035753,-0.059868
